Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
607,Cole Skuse,eng ENG,MF,Ipswich Town,32,1986,34,32,"2,704",30.0,0,1,1,0,0,0,6,0,0.7,0.7,0.4,1.1,11,92,14,0.00,0.03,0.03,0.00,0.03,0.02,0.01,0.04,0.02,0.04,Matches
608,Richard Smallwood,eng ENG,MF,Blackburn,27,1990,32,29,"2,226",24.7,0,1,1,0,0,0,8,1,0.5,0.5,1.5,2.0,20,157,15,0.00,0.04,0.04,0.00,0.04,0.02,0.06,0.08,0.02,0.08,Matches
609,Korey Smith,eng ENG,MF,Bristol City,27,1991,5,3,234,2.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,12,6,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.06,0.03,0.06,Matches
610,Matt Smith,eng ENG,FW,QPR,29,1989,35,7,948,10.5,6,1,7,6,0,0,0,0,5.6,5.6,1.8,7.5,3,20,43,0.57,0.09,0.66,0.57,0.66,0.54,0.18,0.71,0.54,0.71,Matches
611,Michael Smith,eng ENG,FW,Rotherham Utd,26,1991,45,44,"3,919",43.5,8,4,12,7,1,1,4,0,9.5,8.7,4.5,13.2,29,77,296,0.18,0.09,0.28,0.16,0.25,0.22,0.10,0.32,0.20,0.30,Matches
612,Paul Smyth,nir NIR,"FW,MF",QPR,20,1997,3,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
613,Viv Solomon-Otabor,ng NGA,"MF,FW",Birmingham City,22,1996,8,0,139,1.5,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.8,8,1,15,0.65,0.00,0.65,0.65,0.65,0.42,0.07,0.49,0.42,0.49,Matches
614,Hillel Soudani,dz ALG,MF,Nott'ham Forest,30,1987,6,1,149,1.7,2,0,2,2,0,0,0,0,1.1,0.5,0.2,0.7,5,5,13,1.21,0.00,1.21,1.21,1.21,0.64,0.12,0.76,0.29,0.41,Matches
615,Jordan Spence,eng ENG,DF,Ipswich Town,28,1990,17,16,"1,387",15.4,0,0,0,0,0,0,4,0,0.2,0.2,0.3,0.5,24,57,32,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
616,Dennis Srbeny,de GER,"FW,MF",Norwich City,24,1994,15,0,150,1.7,1,1,2,1,0,0,0,0,1.4,1.4,1.1,2.5,13,8,19,0.60,0.60,1.20,0.60,1.20,0.83,0.65,1.48,0.83,1.48,Matches
617,Richard Stearman,eng ENG,DF,Sheffield Utd,30,1987,16,3,449,5.0,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,0,6,1,0.20,0.00,0.20,0.20,0.20,0.03,0.00,0.03,0.03,0.03,Matches
618,Luke Steele,eng ENG,GK,Nott'ham Forest,33,1984,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
619,Jed Steer,eng ENG,GK,Aston Villa,25,1992,16,15,"1,395",15.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
620,Enda Stevens,ie IRL,DF,Sheffield Utd,28,1990,45,45,"4,026",44.7,4,6,10,4,0,0,8,0,3.9,3.9,5.9,9.8,127,234,274,0.09,0.13,0.22,0.09,0.22,0.09,0.13,0.22,0.09,0.22,Matches
